"Year","Month","Day","Site.Name","COUNTY","meanLatitude","meanLongtiude","PM2.5","Ozone"
"2018","01","11","Clemmons Middle","Forsyth",36.026,-80.342,59,NA
"2018","01","11","Durham Armory","Durham",36.0329550008979,-78.904037,43.5,NA
"2018","01","11","Frying Pan Mountain","Haywood",35.379167,-82.7925,0,NA
"2018","01","11","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,35,26
"2018","01","11","Hattie Avenue","Forsyth",36.110693332,-80.2264378,48.5,NA
"2018","01","11","Leggett","Edgecombe",35.988278,-77.5843,34,NA
"2018","01","11","Linville Falls","Avery",35.972347,-81.933072,3,NA
"2018","01","11","Mendenhall School","Guilford",36.1090060008986,-79.802314,55,NA
"2018","01","11","Millbrook School","Wake",35.856111,-78.574167,23,26
"2018","01","11","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,27.5,NA
"2018","01","11","West Johnston Co.","Johnston",35.59095,-78.4622,41,NA
"2018","01","12","Bryson City","Swain",35.434767,-83.442133,10,NA
"2018","01","12","Castle Hayne","New Hanover",34.364167,-77.838611,0,NA
"2018","01","12","Clemmons Middle","Forsyth",36.026,-80.342,23,NA
"2018","01","12","Durham Armory","Durham",36.0329550008979,-78.904037,5,NA
"2018","01","12","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,20,33
"2018","01","12","Hattie Avenue","Forsyth",36.110693332,-80.2264378,23,NA
"2018","01","12","Leggett","Edgecombe",35.988278,-77.5843,8,NA
"2018","01","12","Mendenhall School","Guilford",36.1090060008986,-79.802314,15,NA
"2018","01","12","Millbrook School","Wake",35.856111,-78.574167,0,35
"2018","01","12","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,12,NA
"2018","01","12","West Johnston Co.","Johnston",35.59095,-78.4622,13,NA
"2018","01","13","Bryson City","Swain",35.434767,-83.442133,18,NA
"2018","01","13","Castle Hayne","New Hanover",34.364167,-77.838611,10,NA
"2018","01","13","Clemmons Middle","Forsyth",36.026,-80.342,10,NA
"2018","01","13","Durham Armory","Durham",36.0329550008979,-78.904037,20,NA
"2018","01","13","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,15,32
"2018","01","13","Hattie Avenue","Forsyth",36.110693332,-80.2264378,10,NA
"2018","01","13","Leggett","Edgecombe",35.988278,-77.5843,0,NA
"2018","01","13","Mendenhall School","Guilford",36.1090060008986,-79.802314,12,NA
"2018","01","13","Millbrook School","Wake",35.856111,-78.574167,24,32
"2018","01","13","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,3,NA
"2018","01","13","West Johnston Co.","Johnston",35.59095,-78.4622,8,NA
"2018","01","14","Bryson City","Swain",35.434767,-83.442133,28,NA
"2018","01","14","Castle Hayne","New Hanover",34.364167,-77.838611,10,NA
"2018","01","14","Clemmons Middle","Forsyth",36.026,-80.342,25,NA
"2018","01","14","Durham Armory","Durham",36.0329550008979,-78.904037,20,NA
"2018","01","14","Frying Pan Mountain","Haywood",35.379167,-82.7925,6,NA
"2018","01","14","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,26.5,31
"2018","01","14","Hattie Avenue","Forsyth",36.110693332,-80.2264378,20.3333333333333,NA
"2018","01","14","Leggett","Edgecombe",35.988278,-77.5843,10,NA
"2018","01","14","Linville Falls","Avery",35.972347,-81.933072,10,NA
"2018","01","14","Mendenhall School","Guilford",36.1090060008986,-79.802314,22,NA
"2018","01","14","Millbrook School","Wake",35.856111,-78.574167,19.5,NA
"2018","01","14","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,15.5,NA
"2018","01","14","West Johnston Co.","Johnston",35.59095,-78.4622,15,NA
"2018","01","15","Bryson City","Swain",35.434767,-83.442133,43,NA
"2018","01","15","Castle Hayne","New Hanover",34.364167,-77.838611,21,NA
"2018","01","15","Clemmons Middle","Forsyth",36.026,-80.342,30,NA
"2018","01","15","Durham Armory","Durham",36.0329550008979,-78.904037,44,NA
"2018","01","15","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,43,27
"2018","01","15","Hattie Avenue","Forsyth",36.110693332,-80.2264378,30,NA
"2018","01","15","Leggett","Edgecombe",35.988278,-77.5843,24,NA
"2018","01","15","Mendenhall School","Guilford",36.1090060008986,-79.802314,40,NA
"2018","01","15","Millbrook School","Wake",35.856111,-78.574167,35,NA
"2018","01","15","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,30,NA
"2018","01","15","West Johnston Co.","Johnston",35.59095,-78.4622,35,NA
"2018","01","16","Bryson City","Swain",35.434767,-83.442133,52,NA
"2018","01","16","Castle Hayne","New Hanover",34.364167,-77.838611,20,NA
"2018","01","16","Clemmons Middle","Forsyth",36.026,-80.342,69,NA
"2018","01","16","Durham Armory","Durham",36.0329550008979,-78.904037,60,NA
"2018","01","16","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,61,28
"2018","01","16","Hattie Avenue","Forsyth",36.110693332,-80.2264378,68,NA
"2018","01","16","Leggett","Edgecombe",35.988278,-77.5843,29,NA
"2018","01","16","Mendenhall School","Guilford",36.1090060008986,-79.802314,70,NA
"2018","01","16","Millbrook School","Wake",35.856111,-78.574167,58,24
"2018","01","16","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,37,NA
"2018","01","16","West Johnston Co.","Johnston",35.59095,-78.4622,53,NA
"2018","01","17","Bryson City","Swain",35.434767,-83.442133,37,NA
"2018","01","17","Castle Hayne","New Hanover",34.364167,-77.838611,24,NA
"2018","01","17","Clemmons Middle","Forsyth",36.026,-80.342,55,NA
"2018","01","17","Durham Armory","Durham",36.0329550008979,-78.904037,54.5,NA
"2018","01","17","Frying Pan Mountain","Haywood",35.379167,-82.7925,15,NA
"2018","01","17","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,40.5,28
"2018","01","17","Hattie Avenue","Forsyth",36.110693332,-80.2264378,47.5,NA
"2018","01","17","Leggett","Edgecombe",35.988278,-77.5843,38,NA
"2018","01","17","Linville Falls","Avery",35.972347,-81.933072,19,NA
"2018","01","17","Mendenhall School","Guilford",36.1090060008986,-79.802314,51,NA
